data_source,feature_set,horizon,model,share_in_mcs,n_assets,mean_mcs_p
stock_rv5,MALL,22,HARCJ,0.7222222222222222,54,0.1887037037037037
stock_rv5,MALL,22,HARQ,0.7777777777777778,54,0.21335185185185188
stock_rv5,MALL,22,Lasso,0.5925925925925926,54,0.14931481481481482
stock_rv5,MALL,22,LogHAR,0.8703703703703703,54,0.2331111111111111
stock_rv5,MALL,22,NN1,0.7962962962962963,54,0.19412962962962965
stock_rv5,MALL,22,NN2,0.7962962962962963,54,0.19305555555555556
stock_rv5,MALL,22,NN3,0.8518518518518519,54,0.20185185185185187
stock_rv5,MALL,22,RandomForest,0.8333333333333334,54,0.2000185185185185
stock_rv5,MALL,22,Ridge,0.6296296296296297,54,0.16098148148148148
stock_rv5,MALL,22,SHAR,0.6296296296296297,54,0.1766666666666667
stock_rv5,MHAR,1,ElasticNet,0.2777777777777778,54,0.10487037037037038
stock_rv5,MHAR,1,GradientBoosting,0.8148148148148148,54,0.2436851851851852
stock_rv5,MHAR,1,HAR,0.6111111111111112,54,0.1900925925925926
stock_rv5,MHAR,1,HARCJ,0.6666666666666666,54,0.20235185185185184
stock_rv5,MHAR,1,HARQ,0.7592592592592593,54,0.24264814814814814
stock_rv5,MHAR,1,Lasso,0.2777777777777778,54,0.09651851851851852
stock_rv5,MHAR,1,LogHAR,0.9259259259259259,54,0.26911111111111113
stock_rv5,MHAR,1,NN1,0.6111111111111112,54,0.17512962962962964
stock_rv5,MHAR,1,NN2,0.8518518518518519,54,0.24903703703703706
stock_rv5,MHAR,1,NN3,0.8888888888888888,54,0.2591111111111111
stock_rv5,MHAR,1,RandomForest,0.8703703703703703,54,0.2625925925925926
stock_rv5,MHAR,1,Ridge,0.3333333333333333,54,0.11198148148148147
stock_rv5,MHAR,1,SHAR,0.6481481481481481,54,0.20533333333333334
stock_rv5,MHAR,5,ElasticNet,0.35185185185185186,54,0.08974074074074075
stock_rv5,MHAR,5,GradientBoosting,0.7962962962962963,54,0.20433333333333334
stock_rv5,MHAR,5,HAR,0.5925925925925926,54,0.15485185185185185
stock_rv5,MHAR,5,HARCJ,0.6481481481481481,54,0.147
stock_rv5,MHAR,5,HARQ,0.7777777777777778,54,0.19470370370370368
stock_rv5,MHAR,5,Lasso,0.35185185185185186,54,0.08624074074074074
stock_rv5,MHAR,5,LogHAR,0.8888888888888888,54,0.22481481481481483
stock_rv5,MHAR,5,NN1,0.6666666666666666,54,0.15553703703703703
stock_rv5,MHAR,5,NN2,0.8333333333333334,54,0.22266666666666668
stock_rv5,MHAR,5,NN3,0.9629629629629629,54,0.2417222222222222
stock_rv5,MHAR,5,RandomForest,0.8703703703703703,54,0.21888888888888888
stock_rv5,MHAR,5,Ridge,0.35185185185185186,54,0.0905
stock_rv5,MHAR,5,SHAR,0.6666666666666666,54,0.1620925925925926
stock_rv5,MHAR,22,ElasticNet,0.48148148148148145,54,0.12362962962962963
stock_rv5,MHAR,22,GradientBoosting,0.8148148148148148,54,0.20783333333333334
stock_rv5,MHAR,22,HAR,0.5555555555555556,54,0.15251851851851853
stock_rv5,MHAR,22,HARCJ,0.6851851851851852,54,0.1802037037037037
stock_rv5,MHAR,22,HARQ,0.7222222222222222,54,0.20981481481481482
stock_rv5,MHAR,22,Lasso,0.48148148148148145,54,0.11885185185185186
stock_rv5,MHAR,22,LogHAR,0.8333333333333334,54,0.2255925925925926
stock_rv5,MHAR,22,NN1,0.6851851851851852,54,0.1687037037037037
stock_rv5,MHAR,22,NN2,0.7962962962962963,54,0.1962962962962963
stock_rv5,MHAR,22,NN3,0.9074074074074074,54,0.22420370370370368
stock_rv5,MHAR,22,RandomForest,0.7962962962962963,54,0.23342592592592593
stock_rv5,MHAR,22,Ridge,0.48148148148148145,54,0.12716666666666668
stock_rv5,MHAR,22,SHAR,0.5555555555555556,54,0.14524074074074075
